Item,Description,Quantity,Unit Price,Total Price,Dimensions,Link
Raspberry Pi 5,8GB SBC,1,90,90,85x56x16mm,https://www.dfrobot.com/product-2750.html?srsltid=AfmBOooHALgW_gcMrAfCbLHgEuHvw3-BqtTd_LZs5WgcfXe22HvrRP0aaFE
Hailo AI HAT+,AI Accelerator 13 TOPs,1,76.95,76.95,50x50x18mm,https://www.electromaker.io/shop/product/raspberry-pi-ai-hat-13-tops?gad_source=1&gad_campaignid=17338710367&gbraid=0AAAAAB8F3Fk509tgQk8nSf0HGqCYQjpxE&gclid=CjwKCAiAs4HMBhBJEiwACrfNZbS3G9bjpuSH3a6LhHaChArwUQ_jnrF_8h1mNYkSfNC602uASQX3JhoCzusQAvD_BwE
Lite CL1 128GB SSD,M.2 2242 PCIe NVMe SSD (MZALQ128HBHQ-000L2),1,19.99,19.99,22x42x3.5mm,https://www.ebay.com/itm/144115704959?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&utm_source=chatgpt.com
Arducam 8MP Camera,Auto Focus,3,23.99,71.97,38x38x10mm,https://www.amazon.com/Arducam-IMX219-Camera-Module-NVIDIA/dp/B082NSDP5L?th=1
Waveshare UPS,UPS Module Hat E,1,44.99,44.99,56Ã—88mm,https://www.amazon.com/Waveshare-UPS-HAT-Compatible-Bi-Directional/dp/B0DBLMFX57/ref=sr_1_5_sspa?crid=2ZNT66KU0W75T&dib=eyJ2IjoiMSJ9.brNKgMO-394ZJSlN0L9IpFJ1KTbG5M5Cn_5YY0AQJzOcVVbzwyncLwcuNPsKTa9Wuvs32fhYNon7lzBPvEMU95caFp2haaYRbL1XEn3l270MdwCMuldVXKcEk7rJjSlKdZh0avKayYOAwVFPWl2cddfvBPLe732ihxZoqsgivzQlqSVgHIKu-suf2HeZMRLZnyKxtv6PZ8tNNUXSvgDkNbhmSDQw3nKQb9gwhPUxIQLFknNsToc729iNPmjDzYqIyAaMDoVi6LI4LHi5Z0zaOSe8QVOZs_xs1PmybvJjXag.6ZPYTPWj4kiHqrLUtgoN5BchGq9zNbjwJuoqh36UTwY&dib_tag=se&keywords=Waveshare+UPS+HAT+%28E%29&qid=1770731730&s=electronics&sprefix=waveshare+ups+hat+e+%2Celectronics%2C167&sr=1-5-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
21700 Battery,5000mAh,1,22.99,22.99,66x38x19mm,https://www.amazon.com/TEKOWEE-3-7V-Rechargeable-Batteries-Flashlight/dp/B0F26G5HXZ/ref=pd_bxgy_d_sccl_1/132-2292271-2538016?pd_rd_w=kzaMG&content-id=amzn1.sym.9bef5913-5870-4504-8883-3ba89d7f8e39&pf_rd_p=9bef5913-5870-4504-8883-3ba89d7f8e39&pf_rd_r=C2HZG89BH763YFC6Z8WX&pd_rd_wg=QQZAI&pd_rd_r=8f453760-c16d-4847-9cc9-469e80deb5c3&pd_rd_i=B0F26G5HXZ&psc=1
Intel Dual Band Wireless-AC 8265,M.2 2230 802.11ac Wi-Fi and Bluetooth module,1,18.09,18.09,30x22x3mm,https://www.amazon.com/Intel-Dual-Band-Wireless-Ac-8265/dp/B01MZA1AB2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.J85007KE_aU9N51BMnrAoXppif0glnGm3nxXBu1xsiZ-a5c-W4HStnKaYzYCAnybcmQINlwqPqqAa0ycxxRn2sFOLw6Z1QgwZdnscpvywed_TKUIW4fZ9eDFSC5kBtrklvKyFhegciuPFxroLqhZlnpdib_HjY_wi4gP8N4ZvM1ivnAZVKmXHr4C8Vd32rrENJAxgnF8XaUivczbTkgRt5WzLUTK6oOXTjwtj0JQH1U.eHN3aH-mtioUUIH5DrEiyjqDPAFnoHl44lfI05D2zuY&dib_tag=se&keywords=8265ngw&qid=1770494468&sr=8-1
BNO085 IMU Sensor,Teyleten Robot GY-BNO085 AR/VR High Accuracy 9DOF AHRS Sensor,1,17.99,17.99,146x109x7mm,https://www.amazon.com/Teyleten-Robot-BNO085-Accuracy-Nine-Axis/dp/B0CL26J81F/ref=sr_1_2?dib=eyJ2IjoiMSJ9.XYTU67RiiWAt3REqmDwaVJEyOdqWs1HZneWC4ytb1SJ4RvRUMFylAtssxMXtHl0tuFKiK7k4nKLjYAd1oSHP7Kka0zLBxZ8IYkxy5UltSpnyDiDuV6izb3K2KgJQMGXtAowV6cBdWyK8ru0y1otNUf1kI29uL_GhNPKbPXJAikFhwJ6vy-NWdU4NSGSxtnVq2p8qNF8lf9Og4tMEoTllVXw2nNUwlVB8S3OXeCsRHzU.305MnY3v4ptKUUhwWhTIWTGipWYEbx7UEZ3MsK_XYdY&dib_tag=se&keywords=bno085&qid=1768280864&sr=8-2
Microphone Array,4-Array USB,1,23.85,23.85,170x110x40mm,https://www.walmart.com/ip/4-Array-Directional-Microphone-Array-USB-Linear-60-Degree-Sound-Pickup-Noise-Reduction-with-Amplifier-3-5mm/15663057235?wmlspartner=wlpa&selectedSellerId=101230652&utm_source=chatgpt.com
Adesso Speakers,Desktop Speaker Set 5W x2,1,15.99,15.99,115x122x115mm,https://www.amazon.com/Adesso-Xtream-S4-Desktop-Speaker/dp/B08PQLGHX6
